S.No.;Kullanim Amaci;Stok No.;"Malzemenin 
Ad?";Malzeme De?i?im Periyodu;"Ana 
Malzemesi";Ana Malzeme Miktar?-y;Araç Ba??na Kullan?m Miktar?-z;Yil Ici Istek Yapma Sayisi-k;"t y?l? ?stek Miktar?-04 istegi
c=b-a";t y?l? ?stek Miktar?-05 istegi-d;t y?l? ?stek Miktar?-06 istegi-e;"t+1 y?l? ?stek Miktar?-04 istegi
i";t+1 y?l? ?stek Miktar?-05 istegi-j;t+1 y?l? ?stek Miktar?-06 istegi-l;"Brl.
?htiyaç Miktar?
a=y*z";Depo Mevcudu-b;"Son ihtiyaç Miktar?
c=(b-a)+(b-?)+(e-j)+l";Birim Fiyati;Kaynak Ihtiyac Miktari
1; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-295-7458 - 2815012957458;;1;ENGINE, DIESEL;125;4;1;480;500;500;;;;500;20;;;
2; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-111-2262 - 2815011112262;;0,5;ENGINE, DIESEL;125;3;2;746;750;750;;;;750;4;;;
3; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-461-7078 - 2815014617078;;2;ENGINE, DIESEL;125;2;0;-38;0;0;;;;0;38;;;
4; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-134-4666 - 2815001344666;;0,5;ENGINE, DIESEL;125;1;2;250;250;250;;;;250;0;;;
5; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-432-1336 - 2815014321336;;2;ENGINE, DIESEL;125;1;0;-60;0;0;;;;0;60;;;
6; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-161-7697 - 2815011617697;;1;ENGINE, DIESEL;125;4;1;445;500;500;;;;500;55;;;
7; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-319-1433 - 2815013191433;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
8; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-128-9544 - 2815011289544;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
9; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-149-1353 - 2815011491353;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
10; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-168-7892 - 2815011687892;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
11; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-410-1205 - 2815004101205;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
12; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-103-2641 - 2815001032641;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
13; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-374-7539 - 2815013747539;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
14; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-452-6354 - 2815014526354;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
15; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-462-3596 - 2815014623596;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
16; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-412-9289 - 2815014129289;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
17; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-443-1309 - 2815014431309;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
18; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-335-7448 - 2815013357448;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
